**System Model**,**Date**,**Description**,**Link**
H2,2024-12-19,Upcoming H2-2 Release,`View PDF <../pcns/H2%20Product%20Change%20Notification%202024_12_19%20System%20Model%20H2-2%20Release.pdf>`_
"H1,H2",2024-12-02,QIR Addendum,`View PDF <../pcns/Quantum%20System%20Product%20Change%20Notification%202024_12_02%20(QIR%20Addendum).pdf>`_
"H1,H2",2024-10-23,QIR & Nexus,`View PDF <../pcns/Quantum%20System%20Product%20Change%20Notification%202024_10_23%20(QIR%20&%20Nexus).pdf>`_
H2,2024-05-01,System Model H2 N=56 Upgrade,`View PDF <../pcns/H2%20Product%20Change%20Notification%202024_05_01%20System%20Model%20H2%20N=56%20Upgrade.pdf>`_
H2,2023-04-19,System Model H2 Release,`View PDF <../pcns/H2%20Product%20Change%20Notification%202023_04_19%20System%20Model%20H2%20Release.pdf>`_
H1,2022-12-01,System Model H1 Emulator Noise Parameters Available to Users,`View PDF <../pcns/H1%20Product%20Change%20Notification%202022_12_01%20System%20Model%20H1%20Emulator%20Noise%20Parameters%20Available%20to%20Users.pdf>`_
H1,2022-12-01,TKET Compilation Integration into H-Series Software Stack,`View PDF <../pcns/H1%20Product%20Change%20Notification%202022_12_01%20TKET%20Compilation%20Integration%20into%20H-Series%20Software%20Stack.pdf>`_
H1,2022-10-03,System H1 Native Gate Set Update,`View PDF <../pcns/H1%20Product%20Change%20Notification%202022_10_03%20H1%20Native%20Gate%20Set%20Update.pdf>`_
H1,2022-06-14,System H1 Updates,`View PDF <../pcns/H1%20Product%20Change%20Notification%202022_06_14%20H1%20Updates.pdf>`_
H1,2022-03-13,Upcoming System Model H1 Emulator updates,`View PDF <../pcns/H1%20Product%20Change%20Notification%202022_03_13%20Upcoming%20System%20Model%20H1%20Emulator%20updates.pdf>`_
H1,2021-09-10,Upcoming System Model H1 hardware changes,`View PDF <../pcns/H1%20Product%20Change%20Notification%202021_09_10%20Upcoming%20System%20Model%20H1%20hardware%20changes.pdf>`_
