**Machine**,**# of Qubits**,**Date**,**Download**
H2-1,21,2024-08-11,`n21_H2-1_raw_results.json <../../../data/n21_H2-1_raw_results.json>`_
H2-1,18,2024-05-30,`n18_H2-1_raw_results.json <../../../data/n18_H2-1_raw_results.json>`_
H1-1,20,2024-04-04,`n20_H1-1_raw_results.json <../../../data/n20_H1-1_raw_results.json>`_
H1-2,15,2023-10-27,`n15_H1-2_raw_results.json <../../../data/n15_H1-2_raw_results.json>`_
H1-1,19,2023-06-13,`n19_H1-1_raw_results.json <../../../data/n19_H1-1_raw_results.json>`_
H1-1,18,2023-05-25,`n18_H1-1_raw_results.json <../../../data/n18_H1-1_raw_results.json>`_
H1-1,17,2023-05-10,`n17_H1-1_raw_results.json <../../../data/n17_H1-1_raw_results.json>`_
H2-1,16,2023-04-18,`n16_H2-1_raw_results.json <../../../data/n16_H2-1_raw_results.json>`_
H2-1,15,2023-04-10,`n15_H2-1_raw_results.json <../../../data/n15_H2-1_raw_results.json>`_
H1-1,16,2023-03-17,`n16_H1-1_raw_results.json <../../../data/n16_H1-1_raw_results.json>`_
H1-1,15,2023-01-18,`n15_H1-1_raw_results.json <../../../data/n15_H1-1_raw_results.json>`_
H1-1,14,2023-01-11,`n14_H1-1_raw_results.json <../../../data/n14_H1-1_raw_results.json>`_
H1-1,13,2022-09-20,`n13_H1-1_raw_results.json <../../../data/n13_H1-1_raw_results.json>`_
H1-2,12,2022-04-11,`n12_H1-2_raw_results.json <../../../data/n12_H1-2_raw_results.json>`_
H1-2,11,2021-12-17,`n11_H1-2_raw_results.json <../../../data/n11_H1-2_raw_results.json>`_
H1-1,10,2021-07-12,`n10_H1-1_raw_results.json <../../../data/n10_H1-1_raw_results.json>`_
H1-1,9,2021-03-02,`n9_H1-1_raw_results.json <../../../data/n9_H1-1_raw_results.json>`_
H1-1,7,2020-09-29,`n7_H1-1_raw_results.json <../../../data/n7_H1-1_raw_results.json>`_
H0,6,2020-06-20,`n6_H0_raw_results.json <../../../data/n6_H0_raw_results.json>`_
